Region,Year,Gender,Population
Trincomalee,2020,Total,431
Trincomalee,2021,Female,223
Trincomalee,2021,Male,218
Trincomalee,2021,Total,441
Trincomalee,2022,Female,225
Trincomalee,2022,Male,219
Trincomalee,2022,Total,444
Trincomalee,2023,Female,224
Trincomalee,2023,Male,219
Trincomalee,2023,Total,443
Trincomalee,2024,Female,224
Trincomalee,2024,Male,218
Trincomalee,2024,Total,442
Vavuniya,2014,Female,90
Vavuniya,2014,Male,88
Vavuniya,2014,Total,178
Vavuniya,2015,Female,92
Vavuniya,2015,Male,89
Vavuniya,2015,Total,181
Vavuniya,2016,Female,93
Vavuniya,2016,Male,90
Vavuniya,2016,Total,183
Vavuniya,2017,Female,95
Vavuniya,2017,Male,92
Vavuniya,2017,Total,187
Vavuniya,2018,Female,95
Vavuniya,2018,Male,92
Vavuniya,2018,Total,187
Vavuniya,2019,Female,96
Vavuniya,2019,Male,93
Vavuniya,2019,Total,189
Vavuniya,2020,Female,97
Vavuniya,2020,Male,94
Vavuniya,2020,Total,191
Vavuniya,2021,Female,99
Vavuniya,2021,Male,95
Vavuniya,2021,Total,194
Vavuniya,2022,Female,99
Vavuniya,2022,Male,96
Vavuniya,2022,Total,195
Vavuniya,2023,Female,100
Vavuniya,2023,Male,96
Vavuniya,2023,Total,196
Vavuniya,2024,Female,100
Vavuniya,2024,Male,97
Vavuniya,2024,Total,197
